,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Praia Dourada
252,Itaqui,BR,88.27,clear sky,-29.1253,-56.5531,Hotel Contursi
253,Padang,ID,78.85,light rain,-0.9492,100.3543,losmen Surya
254,Kyakhta,RU,14.74,overcast clouds,50.3508,106.4494,Турист
256,Orlik,RU,4.66,scattered clouds,52.5178,99.825,Ая ганга
257,Bayevo,RU,29.64,broken clouds,53.2833,80.7667,"Гостиница ""Кулунда"""
258,Riyadh,SA,86.14,clear sky,24.6877,46.7219,White Palace Hotel
261,Sokoto,NG,103.71,clear sky,13.0609,5.239,Pinnade hotel
263,Karratha,AU,85.14,light rain,-20.7377,116.8463,Karratha International Hotel
264,Beloha,MG,73.76,light rain,-25.1667,45.05,Hôtel Oliv
265,Robertson,US,66.74,broken clouds,36.5167,-86.8667,Hampton Inn Springfield
