City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Kentau,KZ,43.5206,68.5094,57.07,60,55,5.77,broken clouds
210,Lorengau,PG,-2.0226,147.2712,80.04,81,98,6.78,overcast clouds
211,San Patricio,US,28.017,-97.5169,76.15,61,16,9.93,few clouds
212,Samarai,PG,-10.6167,150.6667,80.15,80,41,6.4,scattered clouds
213,Kalaiya,NP,27.0327,85.0022,70.48,22,0,6.73,clear sky
214,Doha,QA,25.2867,51.5333,82.71,35,0,4.61,clear sky
215,Constitucion,CL,-35.3333,-72.4167,67.57,68,30,6.96,scattered clouds
216,Souillac,MU,-20.5167,57.5167,79.18,83,75,1.14,light rain
217,Nabire,ID,-3.3667,135.4833,74.75,91,100,4.0,overcast clouds
218,Umm Kaddadah,SD,13.6017,26.6876,91.67,13,3,12.19,clear sky
219,Macrohon,PH,10.0797,124.9431,73.78,95,40,6.06,scattered clouds
220,Carnarvon,AU,-24.8667,113.6333,77.25,68,0,21.03,clear sky
221,Nelson Bay,AU,-32.7167,152.15,77.0,75,1,4.0,light rain
222,Tokoroa,NZ,-38.2333,175.8667,49.95,85,12,2.62,few clouds
223,La Ronge,CA,55.1001,-105.2842,-19.95,63,40,1.14,scattered clouds
224,Brownwood,US,31.7093,-98.9912,64.4,77,0,11.5,clear sky
225,Henties Bay,NA,-22.116,14.2845,65.91,80,16,14.27,few clouds
226,Berlevag,NO,70.8578,29.0864,15.6,61,22,12.66,few clouds
227,Bandarbeyla,SO,9.4942,50.8122,78.01,71,0,13.69,clear sky
228,Avallon,FR,47.4833,3.9,39.97,64,100,9.69,overcast clouds
229,Bay Roberts,CA,47.5999,-53.2648,33.33,83,94,5.01,overcast clouds
230,Ajaccio,FR,42.0,8.9167,53.65,67,40,10.36,scattered clouds
231,Adrar,MR,20.5022,-10.0711,89.51,7,100,8.3,overcast clouds
232,Lebu,CL,-37.6167,-73.65,65.12,77,5,10.8,clear sky
233,Matoury,GF,4.8483,-52.3317,85.96,66,75,17.27,broken clouds
234,Wasilla,US,61.5814,-149.4394,13.89,78,0,0.0,clear sky
235,Nyurba,RU,63.2842,118.3319,-7.58,97,100,6.98,overcast clouds
236,New Norfolk,AU,-42.7826,147.0587,60.3,62,100,8.01,overcast clouds
237,Leh,IN,34.1667,77.5833,7.36,78,65,3.04,broken clouds
238,Bella Vista,US,36.4295,-94.2316,69.62,56,0,17.27,clear sky
239,Amarpur,IN,25.0333,86.9,74.16,17,0,4.5,clear sky
240,Rawson,AR,-43.3002,-65.1023,85.55,23,12,16.62,few clouds
241,Geraldton,AU,-28.7667,114.6,70.21,73,0,13.8,clear sky
242,Gat,IL,31.61,34.7642,63.28,100,1,8.61,clear sky
243,Kulhudhuffushi,MV,6.6221,73.07,81.27,78,47,13.71,scattered clouds
244,Sechelt,CA,49.4664,-123.7694,38.8,90,100,6.69,overcast clouds
245,Emerald,AU,-23.5333,148.1667,72.34,80,37,7.94,scattered clouds
246,Kushima,JP,31.4583,131.2333,49.14,73,0,5.21,clear sky
247,Sorong,ID,-0.8833,131.25,80.33,78,98,3.49,overcast clouds
248,Teeli,RU,51.0333,90.2333,15.57,80,98,3.83,overcast clouds
249,Bhikangaon,IN,21.8667,75.95,80.04,33,100,5.01,overcast clouds
250,Camacha,PT,33.0833,-16.3333,67.42,78,40,6.91,scattered clouds
251,Charters Towers,AU,-20.1,146.2667,73.22,82,100,8.55,overcast clouds
252,Itaqui,BR,-29.1253,-56.5531,88.27,30,0,9.01,clear sky
253,Padang,ID,-0.9492,100.3543,78.85,87,75,4.27,light rain
254,Kyakhta,RU,50.3508,106.4494,14.74,96,96,3.0,overcast clouds
255,Port Hardy,CA,50.6996,-127.4199,37.4,100,75,4.61,broken clouds
256,Orlik,RU,52.5178,99.825,4.66,91,29,4.05,scattered clouds
257,Bayevo,RU,53.2833,80.7667,29.64,87,77,17.98,broken clouds
258,Riyadh,SA,24.6877,46.7219,86.14,17,3,10.29,clear sky
259,Kaitangata,NZ,-46.2817,169.8464,45.88,95,40,4.54,scattered clouds
260,Paragominas,BR,-2.9667,-47.4833,86.4,65,56,6.58,broken clouds
261,Sokoto,NG,13.0609,5.239,103.71,7,9,8.5,clear sky
262,Amapa,BR,1.0,-52.0,77.81,95,100,4.68,overcast clouds
263,Karratha,AU,-20.7377,116.8463,85.14,72,10,4.36,light rain
264,Beloha,MG,-25.1667,45.05,73.76,92,100,16.13,light rain
265,Robertson,US,36.5167,-86.8667,66.74,53,82,13.02,broken clouds
266,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,30.0,light rain
267,Florianopolis,BR,-27.6146,-48.5012,81.63,80,40,6.91,scattered clouds
268,Codrington,AU,-38.2667,141.9667,56.05,76,40,17.76,scattered clouds
269,Pemba,MZ,-12.974,40.5178,83.1,78,75,13.0,broken clouds
270,Belaya Gora,RU,68.5333,146.4167,-34.89,100,80,3.62,broken clouds
271,Hasaki,JP,35.7333,140.8333,44.22,79,6,10.31,clear sky
272,Severo-Kurilsk,RU,50.6789,156.125,29.97,90,98,11.36,overcast clouds
273,Niquelandia,BR,-14.4739,-48.4597,90.01,43,16,4.05,few clouds
274,Baykit,RU,61.67,96.37,6.3,98,100,2.71,overcast clouds
275,Safaga,EG,26.7292,33.9365,77.04,36,31,18.88,scattered clouds
276,Imbituba,BR,-28.24,-48.6703,82.85,86,76,2.33,broken clouds
277,Tefe,BR,-3.3542,-64.7114,78.91,94,75,4.61,broken clouds
278,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.0,66,68,4.52,broken clouds
279,Vanimo,PG,-2.6741,141.3028,75.4,89,100,6.26,light rain
280,Sabha,LY,27.0377,14.4283,74.1,17,62,5.46,broken clouds
281,Pashiya,RU,58.4324,58.2562,19.33,98,97,2.08,overcast clouds
282,Kajaani,FI,64.2273,27.7285,14.05,73,40,5.75,scattered clouds
283,Kurchum,KZ,48.5722,83.6542,33.12,99,100,2.62,overcast clouds
284,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.79,65,100,10.8,overcast clouds
285,Coahuayana,MX,18.7333,-103.6833,80.02,60,28,2.84,scattered clouds
286,Aswan,EG,24.0934,32.907,94.3,13,0,11.5,clear sky
287,Pangkalanbuun,ID,-2.6833,111.6167,73.33,96,100,2.53,overcast clouds
288,Carmen,MX,18.6333,-91.8333,78.84,73,20,17.27,few clouds
289,Mar Del Plata,AR,-38.0023,-57.5575,90.95,53,0,14.97,clear sky
290,Asekeyevo,RU,53.5742,52.7972,25.63,93,99,6.02,overcast clouds
291,Tongchuan,CN,35.0806,109.0897,55.27,30,1,3.2,clear sky
292,Champerico,GT,14.3,-91.9167,84.74,60,11,8.34,few clouds
293,Bahir Dar,ET,11.5936,37.3908,77.52,35,100,6.15,light rain
294,Bengkulu,ID,-3.8004,102.2655,75.11,89,100,3.24,overcast clouds
295,Mount Gambier,AU,-37.8333,140.7667,57.04,71,4,13.02,clear sky
296,Zhezkazgan,KZ,47.8043,67.7144,26.91,99,93,5.3,overcast clouds
297,Hukuntsi,BW,-24.0,21.75,78.21,46,77,7.49,light rain
298,Kenora,CA,49.8167,-94.4337,9.57,61,20,12.66,few clouds
299,Sakakah,SA,29.9697,40.2064,85.57,16,17,13.15,few clouds
300,Toguchin,RU,55.2353,84.3858,29.61,86,100,20.58,overcast clouds
301,Muros,ES,42.7762,-9.0603,63.68,82,89,8.63,overcast clouds
302,Coihaique,CL,-45.5752,-72.0662,52.41,82,100,8.05,overcast clouds
303,Derzhavinsk,KZ,51.1,66.3167,32.54,98,100,11.48,light snow
304,Brejo Da Madre De Deus,BR,-8.1458,-36.3711,91.36,33,99,12.82,overcast clouds
305,Plouzane,FR,48.3833,-4.6167,46.58,71,100,8.05,overcast clouds
306,Nouadhibou,MR,20.931,-17.0347,67.24,71,2,14.25,clear sky
307,Carutapera,BR,-1.195,-46.02,80.92,90,92,8.14,overcast clouds
308,Sol-Iletsk,RU,51.1631,54.9918,26.08,99,100,4.16,overcast clouds
309,Srednekolymsk,RU,67.45,153.6833,-37.03,100,30,1.95,scattered clouds
310,Gawler,AU,-34.6,138.7333,63.91,70,42,12.57,scattered clouds
311,Dunmore Town,BS,25.5,-76.65,77.25,71,49,9.37,scattered clouds
312,Tucuman,AR,-26.8241,-65.2226,86.0,58,40,6.91,scattered clouds
313,Saint-Pierre,RE,-21.3393,55.4781,82.08,69,100,2.3,light rain
314,Taganak,PH,6.0833,118.3,80.74,79,11,13.8,few clouds
315,Port Blair,IN,11.6667,92.75,82.44,74,40,4.61,mist
316,Ancud,CL,-41.8697,-73.8203,53.96,97,100,10.2,heavy intensity rain
317,Elmina,GH,5.0898,-1.348,83.97,74,97,14.23,light rain
318,Banda Aceh,ID,5.5577,95.3222,77.97,77,31,11.5,scattered clouds
319,Akhisar,TR,38.9185,27.8401,58.71,55,20,8.05,few clouds
320,Tiarei,PF,-17.5333,-149.3333,78.82,82,100,14.43,overcast clouds
321,Marienburg,PL,54.0359,19.0266,35.04,55,100,6.55,overcast clouds
322,Marawi,PH,7.9986,124.2928,66.67,97,91,2.3,overcast clouds
323,Rantepao,ID,-2.9701,119.8978,66.18,96,100,3.04,overcast clouds
324,Kupang,ID,-10.1667,123.5833,77.49,84,81,4.43,broken clouds
325,Victoria,HK,22.2855,114.1577,66.38,68,0,10.0,clear sky
326,Kodiak,US,57.79,-152.4072,20.71,86,0,6.91,clear sky
327,Tayu,ID,-6.5397,111.0518,76.62,89,99,4.25,overcast clouds
328,Asfi,MA,32.2994,-9.2372,62.98,75,97,7.83,overcast clouds
329,Gejiu,CN,23.306,103.1635,46.76,95,43,5.39,scattered clouds
330,Matadi,CD,-5.8167,13.45,91.67,57,86,4.76,overcast clouds
331,Ucluelet,CA,48.9329,-125.5528,35.91,91,100,7.99,overcast clouds
332,Yunyang,CN,33.4474,112.7142,60.51,51,100,4.34,overcast clouds
333,Tawang,IN,27.5833,91.8667,40.39,94,98,1.79,overcast clouds
334,Whitehorse,CA,60.7161,-135.0538,-21.19,69,20,0.0,fog
335,Taltal,CL,-25.4,-70.4833,75.11,66,22,7.83,few clouds
336,Richards Bay,ZA,-28.783,32.0377,74.77,91,100,4.92,light rain
337,Tautira,PF,-17.7333,-149.15,77.67,82,100,16.17,overcast clouds
338,Mount Isa,AU,-20.7333,139.5,76.77,83,100,6.91,light rain
339,Wilkie,CA,52.4168,-108.7014,-5.12,77,88,8.63,overcast clouds
340,Seoul,KR,37.5683,126.9778,42.24,71,0,8.05,clear sky
341,Tingo Maria,PE,-9.2895,-76.0088,75.51,83,100,2.3,overcast clouds
342,Alofi,NU,-19.0595,-169.9187,78.69,94,100,9.22,light rain
343,Turayf,SA,31.6725,38.6637,71.85,24,0,16.11,clear sky
344,Powell River,CA,49.8496,-124.5361,35.24,100,100,0.0,mist
345,Balaipungut,ID,1.05,101.2833,73.62,85,21,0.72,few clouds
346,Narsaq,GL,60.9167,-46.05,52.02,87,1,5.28,clear sky
